NumComplaints,Address
118,924 EAST  218 STREET
118,250 BEDFORD PARK BOULEVARD
117,2351 GRAND CONCOURSE
117,3185 VILLA AVENUE
117,2055 DAVIDSON AVENUE
117,1201 DR M L KING JR BOULEVARD
116,2015 GRAND AVENUE
116,2275 MORRIS AVENUE
116,1265 COLLEGE AVENUE
116,1040 GERARD AVENUE
116,2416 CROTONA AVENUE
115,754 MANIDA STREET
115,2081 GRAND AVENUE
115,2009 CRUGER AVENUE
115,2272 ANDREWS AVENUE NORTH
115,3604 HOLLAND AVENUE
115,960 GRAND CONCOURSE
115,2860 DECATUR AVENUE
115,124 EAST  176 STREET
115,1904 VYSE AVENUE
115,83 WEST  188 STREET
115,1774 EASTBURN AVENUE
115,1017 TRINITY AVENUE
115,2298 CRESTON AVENUE
114,1605 FULTON AVENUE
114,1016 BRYANT AVENUE
114,1120 FOX STREET
114,2400 VALENTINE AVENUE
114,1360 MERRIAM AVENUE
114,2709 HEATH AVENUE
114,610 TRINITY AVENUE
114,1229 FRANKLIN AVENUE
114,1854 MONROE AVENUE
114,2504 BRONX PARK EAST
114,10 RICHMAN PLAZA
114,212 WEST KINGSBRIDGE ROAD
113,2235 GLEASON AVENUE
113,20 WEST MOSHOLU PARKWAY SOUTH
113,655 EAST 230 STREET
112,2760 GRAND CONCOURSE
112,355 EAST  187 STREET
112,737 EAST 156 STREET
112,2255 DR M L KING JR BOULEVARD
112,384 EAST  194 STREET
112,1871 LORING PLACE
112,923 WALTON AVENUE
111,3821 BRONXWOOD AVENUE
111,1218 DR M L KING JR BOULEVARD
111,3034 ALBANY CRESCENT
111,2190 BOLTON STREET
111,2526 VALENTINE AVENUE
111,2690 UNIVERSITY AVENUE
111,2084 CRESTON AVENUE
111,576 EAST  165 STREET
111,441 MORRIS PARK AVENUE
111,2682 BAILEY AVENUE
111,2970 BAINBRIDGE AVENUE
110,2160 MATTHEWS AVENUE
110,675 MORRIS AVENUE
110,2476 HUGHES AVENUE
110,1001 WOODYCREST AVENUE
110,226 WEST TREMONT AVENUE
110,939 WOODYCREST AVENUE
109,1115 JEROME AVENUE
109,1752 WALTON AVENUE
109,3805 REVIEW PLACE
109,1487 TELLER AVENUE
109,649 EAST  137 STREET
109,1690 EAST  174 STREET
109,2400 WALTON AVENUE
109,1690 CLAY AVENUE
109,304 EAST  183 STREET
109,95 WEST  195 STREET
109,325 EAST  194 STREET
109,3306 BAILEY AVENUE
109,2830 OLINVILLE AVENUE
109,1415 BRISTOW STREET
109,2675 CRESTON AVENUE
108,1475 SHERIDAN AVENUE
108,1361 ARNOW AVENUE
108,2324 BOSTON ROAD
108,1050 LOWELL STREET
108,250 EAST  176 STREET
